文件路径：/home/xuchen/FanMing/file/topicScore/Google/Communication.txt
文件总数：622
敏感函数个数:227
函数名,主题使用次数,恶意使用次数,威胁评分
android/bluetooth/BluetoothDevice:createInsecureRfcommSocketToServiceRecord(java/util/UUID;)android/bluetooth/BluetoothSocket;,1/622,0/6154,0.0
android/nfc/NfcAdapter:enableForegroundNdefPush(android/app/Activity;android/nfc/NdefMessage;)V,3/622,0/6154,0.0
android/net/wifi/WifiManager:pingSupplicant()Z,2/622,0/6154,0.0
android/bluetooth/BluetoothHeadset:startVoiceRecognition()Z,1/622,0/6154,0.0
android/location/LocationManager:requestSingleUpdate(android/location/Criteria;android/app/PendingIntent;)V,1/622,0/6154,0.0
android/bluetooth/BluetoothDevice:getBluetoothClass()android/bluetooth/BluetoothClass;,24/622,0/6154,0.0
android/provider/VoicemailContract$Status:buildSourceUri(java/lang/String;)android/net/Uri;,1/622,0/6154,0.0
android/content/ContentResolver:getCurrentSync()android/content/SyncInfo;,2/622,0/6154,0.0
android/speech/SpeechRecognizer:cancel()V,8/622,0/6154,0.0
android/bluetooth/BluetoothHeadset:getPriority(android/bluetooth/BluetoothDevice;)I,1/622,0/6154,0.0
java/net/ServerSocket:bind(java/net/SocketAddress;I)V,8/622,0/6154,0.0
android/provider/ContactsContract$Data:getContactLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,2/622,0/6154,0.0
android/provider/CallLog$Calls:getLastOutgoingCall(android/content/Context;)java/lang/String;,1/622,0/6154,0.0
android/media/AudioManager:setParameters(java/lang/String;)V,1/622,0/6154,0.0
android/content/Context:sendStickyBroadcast(android/content/Intent;)V,3/622,0/6154,0.0
android/provider/ContactsContract$SyncState:newSetOperation(android/accounts/Account;[B)android/content/ContentProviderOperation;,1/622,0/6154,0.0
android/content/ContentResolver:isSyncActive(android/accounts/Account;java/lang/String;)Z,4/622,0/6154,0.0
android/provider/Browser:deleteHistoryTimeFrame(android/content/ContentResolver;JJ)V,1/622,0/6154,0.0
android/telephony/TelephonyManager:getVoiceMailAlphaTag()java/lang/String;,2/622,0/6154,0.0
android/bluetooth/BluetoothHeadset:stopVoiceRecognition()Z,1/622,0/6154,0.0
android/inputmethodservice/KeyboardView:onLongPress(android/inputmethodservice/Keyboard$Key;)Z,1/622,0/6154,0.0
android/bluetooth/BluetoothAdapter:getName()java/lang/String;,3/622,0/6154,0.0
android/nfc/NfcAdapter:disableForegroundNdefPush(android/app/Activity;)V,3/622,0/6154,0.0
android/provider/Contacts$Settings:getSetting(android/content/ContentResolver;java/lang/String;java/lang/String;)java/lang/String;,2/622,0/6154,0.0
android/provider/Browser:addSearchUrl(android/content/ContentResolver;java/lang/String;)V,1/622,0/6154,0.0
android/widget/QuickContactBadge:onClick(android/view/View;)V,3/622,0/6154,0.0
android/content/ContentResolver:removePeriodicSync(android/accounts/Account;java/lang/String;android/os/Bundle;)V,2/622,0/6154,0.0
android/provider/Contacts$Settings:setSetting(android/content/ContentResolver;java/lang/String;java/lang/String;java/lang/String;)V,1/622,0/6154,0.0
android/provider/ContactsContract$SyncState:set(android/content/ContentProviderClient;android/accounts/Account;[B)V,1/622,0/6154,0.0
android/media/RingtoneManager:getRingtone(I)android/media/Ringtone;,5/622,0/6154,0.0
android/provider/Contacts$People:addToGroup(android/content/ContentResolver;JJ)android/net/Uri;,3/622,0/6154,0.0
android/speech/SpeechRecognizer:startListening(android/content/Intent;)V,8/622,0/6154,0.0
android/provider/Contacts$People:addToGroup(android/content/ContentResolver;Jjava/lang/String;)android/net/Uri;,3/622,0/6154,0.0
android/provider/ContactsContract$SyncState:get(android/content/ContentProviderClient;android/accounts/Account;)[B,1/622,0/6154,0.0
android/widget/QuickContactBadge:assignContactFromPhone(java/lang/String;Z)V,7/622,0/6154,0.0
android/provider/ContactsContract$SyncState:getWithUri(android/content/ContentProviderClient;android/accounts/Account;)android/util/Pair;,1/622,0/6154,0.0
android/accounts/AccountManager:setUserData(android/accounts/Account;java/lang/String;java/lang/String;)V,12/622,0/6154,0.0
android/accounts/AccountManager:setPassword(android/accounts/Account;java/lang/String;)V,10/622,0/6154,0.0
android/provider/Browser:updateVisitedHistory(android/content/ContentResolver;java/lang/String;Z)V,3/622,0/6154,0.0
android/accounts/AccountManager:updateCredentials(android/accounts/Account;java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,1/622,0/6154,0.0
android/media/AudioManager:setBluetoothScoOn(Z)V,23/622,0/6154,0.0
android/content/ContentResolver:isSyncPending(android/accounts/Account;java/lang/String;)Z,3/622,0/6154,0.0
android/speech/SpeechRecognizer:setRecognitionListener(android/speech/Recognitionistener;)V,8/622,0/6154,0.0
android/media/AudioManager:startBluetoothSco()V,21/622,0/6154,0.0
android/provider/Contacts$ContactMethods:addPostalLocation(android/content/Context;JDD)V,1/622,0/6154,0.0
android/provider/Settings$Secure:setLocationProviderEnabled(android/content/ContentResolver;java/lang/String;Z)V,2/622,0/6154,0.0
android/content/ContentResolver:addPeriodicSync(android/accounts/Account;java/lang/String;android/os/Bundle;J)V,4/622,0/6154,0.0
android/media/AudioManager:stopBluetoothSco()V,20/622,0/6154,0.0
android/speech/SpeechRecognizer:stopListening()V,7/622,0/6154,0.0
android/inputmethodservice/KeyboardView:setKeyboard(android/inputmethodservice/Keyboard;)V,3/622,0/6154,0.0
android/content/Context:sendStickyOrderedBroadcast(android/content/Intent;android/content/BroadcastReceiver;android/os/Handler;Ijava/lang/String;android/os/Bundle;)V,1/622,0/6154,0.0
android/nfc/tech/Ndef:close()V,1/622,0/6154,0.0
android/nfc/NfcAdapter:setNdefPushMessageCallback(android/nfc/NfcAdapter$CreateNdefMessageCallback;android/app/Activity;[android/app/Activity;)V,2/622,0/6154,0.0
android/accounts/AccountManager:peekAuthToken(android/accounts/Account;java/lang/String;)java/lang/String;,1/622,0/6154,0.0
android/location/LocationManager:requestSingleUpdate(java/lang/String;android/location/ocationistener;android/os/ooper;)V,1/622,0/6154,0.0
android/bluetooth/BluetoothHeadset:setPriority(android/bluetooth/BluetoothDevice;I)Z,1/622,0/6154,0.0
android/media/RingtoneManager:stopPreviousRingtone()V,2/622,0/6154,0.0
android/provider/VoicemailContract$Voicemails:buildSourceUri(java/lang/String;)android/net/Uri;,1/622,0/6154,0.0
android/accounts/AccountManager:setAuthToken(android/accounts/Account;java/lang/String;java/lang/String;)V,1/622,0/6154,0.0
