文件路径：/home/xuchen/FanMing/file/topicScore/Google/Entertainment.txt
文件总数：798
敏感函数个数:143
函数名,主题使用次数,恶意使用次数,威胁评分
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;org/apache/http/client/ResponseHandler;org/apache/http/protocol/HttpContext;)java/lang/Object;,1/798,1/6154,4.226475293608626E-4
android/app/WallpaperManager:clear()V,2/798,1/6154,3.9403341511717047E-4
android/accounts/AccountManager:getAuthToken(android/accounts/Account;java/lang/String;Zandroid/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,3/798,1/6154,3.7373137796925044E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/client/ResponseHandler;)java/lang/Object;,9/798,1/6154,3.090677431509148E-4
android/media/RingtoneManager:getRingtone(I)android/media/Ringtone;,1/798,0/6154,0.0
android/location/LocationManager:requestSingleUpdate(android/location/Criteria;android/app/PendingIntent;)V,4/798,0/6154,0.0
android/speech/SpeechRecognizer:startListening(android/content/Intent;)V,1/798,0/6154,0.0
android/widget/VideoView:resume()V,1/798,0/6154,0.0
android/speech/SpeechRecognizer:setRecognitionListener(android/speech/Recognitionistener;)V,1/798,0/6154,0.0
android/location/LocationManager:requestLocationUpdates(JFandroid/location/Criteria;android/app/PendingIntent;)V,4/798,0/6154,0.0
android/content/Context:sendStickyBroadcast(android/content/Intent;)V,4/798,0/6154,0.0
android/inputmethodservice/KeyboardView:setKeyboard(android/inputmethodservice/Keyboard;)V,1/798,0/6154,0.0
android/nfc/NfcAdapter:setNdefPushMessageCallback(android/nfc/NfcAdapter$CreateNdefMessageCallback;android/app/Activity;[android/app/Activity;)V,1/798,0/6154,0.0
android/accounts/AccountManager:peekAuthToken(android/accounts/Account;java/lang/String;)java/lang/String;,1/798,0/6154,0.0
android/inputmethodservice/KeyboardView:onLongPress(android/inputmethodservice/Keyboard$Key;)Z,1/798,0/6154,0.0
android/content/Context:removeStickyBroadcast(android/content/Intent;)V,4/798,0/6154,0.0
android/nfc/NfcAdapter:setOnNdefPushCompleteCallback(android/nfc/NfcAdapter$OnNdefPushCompleteCallback;android/app/Activity;[android/app/Activity;)V,1/798,0/6154,0.0
android/accounts/AccountManager:setAuthToken(android/accounts/Account;java/lang/String;java/lang/String;)V,1/798,0/6154,0.0
