文件路径：/home/xuchen/FanMing/file/topicScore/Google/Social.txt
文件总数：630
敏感函数个数:188
函数名,主题使用次数,恶意使用次数,威胁评分
android/accounts/AccountManager:blockingGetAuthToken(android/accounts/Account;java/lang/String;Z)java/lang/String;,17/630,2/6154,5.018095691746103E-4
android/content/ContentResolver:setSyncAutomatically(android/accounts/Account;java/lang/String;Z)V,30/630,2/6154,4.2508250101375015E-4
android/provider/Contacts$People:markAsContacted(android/content/ContentResolver;J)V,1/630,1/6154,4.0596531585791366E-4
android/bluetooth/BluetoothAdapter:setName(java/lang/String;)Z,1/630,1/6154,4.0596531585791366E-4
android/net/wifi/WifiManager:reassociate()Z,1/630,1/6154,4.0596531585791366E-4
android/net/wifi/WifiManager:disconnect()Z,2/630,1/6154,3.773512016142215E-4
android/accounts/AccountManager:getAccountsByTypeAndFeatures(java/lang/String;[java/lang/String;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,2/630,1/6154,3.773512016142215E-4
android/telephony/SmsManager:sendDataMessage(java/lang/String;java/lang/String;S[Bandroid/app/PendingIntent;android/app/PendingIntent;)V,3/630,1/6154,3.570491644663015E-4
android/media/AudioManager:setMicrophoneMute(Z)V,4/630,1/6154,3.41301681039578E-4
android/content/ContentResolver:getIsSyncable(android/accounts/Account;java/lang/String;)I,7/630,1/6154,3.081330130746894E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/protocol/HttpContext;)org/apache/http/HttpResponse;,7/630,1/6154,3.081330130746894E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/client/ResponseHandler;org/apache/http/protocol/HttpContext;)java/lang/Object;,7/630,1/6154,3.081330130746894E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;org/apache/http/client/ResponseHandler;org/apache/http/protocol/HttpContext;)java/lang/Object;,7/630,1/6154,3.081330130746894E-4
android/accounts/AccountManager:addOnAccountsUpdatedListener(android/accounts/OnAccountsUpdateistener;android/os/Handler;Z)V,8/630,1/6154,2.998209359789173E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/client/ResponseHandler;)java/lang/Object;,10/630,1/6154,2.856593864633339E-4
android/provider/ContactsContract$Contacts:getLookupUri(Jjava/lang/String;)android/net/Uri;,12/630,1/6154,2.7387019778140156E-4
android/accounts/AccountManager:getAuthToken(android/accounts/Account;java/lang/String;Zandroid/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,15/630,1/6154,2.592168616830772E-4
android/provider/ContactsContract$SyncState:set(android/content/ContentProviderClient;android/accounts/Account;[B)V,2/630,0/6154,0.0
android/media/RingtoneManager:getRingtone(I)android/media/Ringtone;,1/630,0/6154,0.0
android/nfc/NfcAdapter:enableForegroundNdefPush(android/app/Activity;android/nfc/NdefMessage;)V,1/630,0/6154,0.0
android/content/ContentResolver:getPeriodicSyncs(android/accounts/Account;java/lang/String;)java/util/ist;,1/630,0/6154,0.0
android/location/LocationManager:requestSingleUpdate(android/location/Criteria;android/app/PendingIntent;)V,2/630,0/6154,0.0
android/provider/ContactsContract$SyncState:get(android/content/ContentProviderClient;android/accounts/Account;)[B,2/630,0/6154,0.0
android/widget/QuickContactBadge:assignContactFromPhone(java/lang/String;Z)V,3/630,0/6154,0.0
android/bluetooth/BluetoothDevice:getBluetoothClass()android/bluetooth/BluetoothClass;,5/630,0/6154,0.0
android/accounts/AccountManager:setUserData(android/accounts/Account;java/lang/String;java/lang/String;)V,11/630,0/6154,0.0
android/accounts/AccountManager:setPassword(android/accounts/Account;java/lang/String;)V,10/630,0/6154,0.0
android/widget/VideoView:resume()V,2/630,0/6154,0.0
android/accounts/AccountManager:updateCredentials(android/accounts/Account;java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,1/630,0/6154,0.0
android/media/AudioManager:setBluetoothScoOn(Z)V,6/630,0/6154,0.0
android/content/ContentResolver:isSyncPending(android/accounts/Account;java/lang/String;)Z,1/630,0/6154,0.0
android/media/AudioManager:startBluetoothSco()V,5/630,0/6154,0.0
android/location/LocationManager:requestLocationUpdates(JFandroid/location/Criteria;android/app/PendingIntent;)V,1/630,0/6154,0.0
android/content/ContentResolver:addPeriodicSync(android/accounts/Account;java/lang/String;android/os/Bundle;J)V,5/630,0/6154,0.0
java/net/ServerSocket:bind(java/net/SocketAddress;I)V,3/630,0/6154,0.0
android/media/AudioManager:stopBluetoothSco()V,5/630,0/6154,0.0
android/content/Context:sendStickyBroadcast(android/content/Intent;)V,4/630,0/6154,0.0
android/accounts/AccountManager:hasFeatures(android/accounts/Account;[java/lang/String;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,2/630,0/6154,0.0
android/inputmethodservice/KeyboardView:setKeyboard(android/inputmethodservice/Keyboard;)V,1/630,0/6154,0.0
android/content/Context:sendStickyOrderedBroadcast(android/content/Intent;android/content/BroadcastReceiver;android/os/Handler;Ijava/lang/String;android/os/Bundle;)V,3/630,0/6154,0.0
android/widget/VideoView:suspend()V,1/630,0/6154,0.0
android/nfc/NfcAdapter:setNdefPushMessageCallback(android/nfc/NfcAdapter$CreateNdefMessageCallback;android/app/Activity;[android/app/Activity;)V,3/630,0/6154,0.0
android/content/ContentResolver:isSyncActive(android/accounts/Account;java/lang/String;)Z,3/630,0/6154,0.0
android/telephony/TelephonyManager:getVoiceMailAlphaTag()java/lang/String;,2/630,0/6154,0.0
android/accounts/AccountManager:peekAuthToken(android/accounts/Account;java/lang/String;)java/lang/String;,3/630,0/6154,0.0
android/inputmethodservice/KeyboardView:onLongPress(android/inputmethodservice/Keyboard$Key;)Z,1/630,0/6154,0.0
android/bluetooth/BluetoothAdapter:getName()java/lang/String;,1/630,0/6154,0.0
android/content/Context:removeStickyBroadcast(android/content/Intent;)V,4/630,0/6154,0.0
android/media/RingtoneManager:stopPreviousRingtone()V,1/630,0/6154,0.0
android/widget/QuickContactBadge:onClick(android/view/View;)V,1/630,0/6154,0.0
android/content/ContentResolver:removePeriodicSync(android/accounts/Account;java/lang/String;android/os/Bundle;)V,3/630,0/6154,0.0
android/nfc/NfcAdapter:setOnNdefPushCompleteCallback(android/nfc/NfcAdapter$OnNdefPushCompleteCallback;android/app/Activity;[android/app/Activity;)V,2/630,0/6154,0.0
android/accounts/AccountManager:setAuthToken(android/accounts/Account;java/lang/String;java/lang/String;)V,4/630,0/6154,0.0
android/content/Context:clearWallpaper()V,3/630,0/6154,0.0
